#nOutput	Full_Hessian	 Diagonal_Hessian	First_Derivatives
1	1.744000e-05	1.510500e-05	7.645000e-06
2	2.318000e-05	1.636500e-05	8.155000e-06
3	3.475500e-05	2.129000e-05	9.915000e-06
4	5.078000e-05	2.538000e-05	1.140000e-05
5	6.724000e-05	3.155000e-05	1.323000e-05
6	8.391000e-05	3.554500e-05	1.364000e-05
7	1.068400e-04	4.243500e-05	1.507500e-05
8	1.352600e-04	4.995500e-05	1.595500e-05
9	1.650700e-04	5.859000e-05	1.783000e-05
10	2.016350e-04	6.603500e-05	1.846500e-05
11	2.605750e-04	8.151000e-05	2.240500e-05
12	2.908200e-04	8.785000e-05	2.253500e-05
13	3.262600e-04	9.522000e-05	2.335500e-05
14	3.877550e-04	1.085650e-04	2.433500e-05
15	4.285100e-04	1.198600e-04	2.611000e-05
16	4.934000e-04	1.312450e-04	2.689500e-05
17	5.728500e-04	1.518200e-04	2.913000e-05
18	6.285150e-04	1.600800e-04	3.058000e-05
19	7.422000e-04	1.853600e-04	3.350000e-05
20	8.181250e-04	1.984700e-04	3.467500e-05
21	9.557550e-04	2.317900e-04	3.761500e-05
22	1.132240e-03	2.698550e-04	4.021500e-05
23	1.154295e-03	2.770400e-04	4.112000e-05
24	1.263590e-03	2.982450e-04	4.217500e-05
25	1.371615e-03	3.129350e-04	4.417500e-05
26	1.453960e-03	3.349500e-04	4.396500e-05
27	1.581660e-03	3.630050e-04	4.588500e-05
28	1.769060e-03	3.965550e-04	4.879000e-05
29	1.959850e-03	4.308900e-04	5.226000e-05
30	2.081025e-03	4.662750e-04	5.235500e-05
31	2.292590e-03	4.966750e-04	5.513000e-05
32	2.552250e-03	5.958650e-04	5.564000e-05
33	2.704735e-03	5.562950e-04	5.750500e-05
34	3.103375e-03	6.377500e-04	6.128500e-05
35	3.417115e-03	6.986200e-04	6.564000e-05
36	3.600300e-03	7.150400e-04	6.629000e-05
37	3.866225e-03	7.666850e-04	6.729500e-05
38	4.565835e-03	8.804100e-04	7.298000e-05
39	5.114020e-03	9.244600e-04	7.451500e-05
40	5.004925e-03	9.585450e-04	7.630500e-05
41	5.611895e-03	1.003645e-03	7.852500e-05
42	5.461145e-03	1.039260e-03	7.804000e-05
43	5.837690e-03	1.084870e-03	7.907000e-05
44	6.260065e-03	1.178535e-03	8.109000e-05
45	6.803295e-03	1.277190e-03	8.491500e-05
46	7.016300e-03	1.296050e-03	8.610500e-05
47	7.850975e-03	1.467855e-03	9.067000e-05
48	8.287005e-03	1.559850e-03	9.328000e-05
49	8.370740e-03	1.533740e-03	9.333000e-05
50	8.698685e-03	1.609250e-03	9.739500e-05
51	9.553065e-03	1.733535e-03	1.006300e-04
52	9.786115e-03	1.837035e-03	1.020600e-04
53	1.068724e-02	1.959565e-03	1.061900e-04
54	1.074542e-02	1.961620e-03	1.066800e-04
55	1.173167e-02	2.131080e-03	1.093150e-04
56	1.157939e-02	2.153880e-03	1.127300e-04
57	1.289882e-02	2.328910e-03	1.160500e-04
58	1.296271e-02	2.355810e-03	1.172000e-04
59	1.427887e-02	2.584900e-03	1.261800e-04
60	1.377289e-02	2.502890e-03	1.231700e-04
