#nOutput	Full_Hessian	 Diagonal_Hessian	First_Derivatives
1	6.163000e-05	3.074000e-05	1.519000e-05
2	1.027600e-04	4.237000e-05	1.983500e-05
3	1.389850e-04	5.681500e-05	2.715000e-05
4	1.588150e-04	5.906500e-05	2.630000e-05
5	2.168250e-04	7.513000e-05	3.612000e-05
6	2.343500e-04	7.833500e-05	3.801500e-05
7	2.697150e-04	8.948500e-05	4.238000e-05
8	3.140000e-04	1.032350e-04	4.833500e-05
9	3.593800e-04	1.164750e-04	5.388000e-05
10	4.610750e-04	1.448250e-04	6.871000e-05
11	4.936800e-04	1.566500e-04	7.390000e-05
12	5.018950e-04	1.546350e-04	7.526500e-05
13	5.784350e-04	1.782250e-04	8.469500e-05
14	6.910400e-04	2.150950e-04	1.007450e-04
15	6.883700e-04	2.110050e-04	1.006650e-04
16	7.740450e-04	2.369150e-04	1.114000e-04
17	8.180000e-04	2.498550e-04	1.194800e-04
18	8.303850e-04	2.550700e-04	1.193450e-04
19	9.022050e-04	2.738850e-04	1.285750e-04
20	9.741200e-04	2.937850e-04	1.389600e-04
21	1.127230e-03	3.385050e-04	1.585750e-04
22	1.084010e-03	3.274950e-04	1.540850e-04
23	1.150115e-03	3.456700e-04	1.637100e-04
24	1.228005e-03	3.671200e-04	1.731900e-04
25	1.275315e-03	3.843100e-04	1.804900e-04
26	1.454320e-03	4.364600e-04	2.051900e-04
27	1.467590e-03	4.385700e-04	2.079200e-04
28	1.487460e-03	4.440800e-04	2.121350e-04
29	1.536170e-03	4.567500e-04	2.186600e-04
30	1.677260e-03	4.894200e-04	2.356500e-04
31	1.696025e-03	5.062500e-04	2.381450e-04
32	1.856345e-03	5.657250e-04	2.624000e-04
33	1.943380e-03	5.788850e-04	2.742500e-04
34	2.006880e-03	5.928600e-04	2.806900e-04
35	2.137385e-03	6.266500e-04	2.954550e-04
36	2.118455e-03	6.241650e-04	2.922350e-04
37	2.357310e-03	6.903350e-04	3.227650e-04
38	2.413195e-03	7.028750e-04	3.227700e-04
39	2.457485e-03	7.321650e-04	3.381700e-04
40	2.459340e-03	7.375900e-04	3.402500e-04
41	2.589600e-03	7.743450e-04	3.629700e-04
42	2.732825e-03	7.968500e-04	3.794650e-04
43	2.914040e-03	8.671850e-04	4.014050e-04
44	2.936890e-03	8.631050e-04	3.997050e-04
45	3.046515e-03	8.943450e-04	4.129800e-04
46	3.133015e-03	9.299800e-04	4.225100e-04
47	3.289920e-03	9.751100e-04	4.585750e-04
48	3.230260e-03	9.571550e-04	4.527050e-04
49	3.485655e-03	1.033735e-03	4.826550e-04
50	3.476115e-03	1.020220e-03	4.820350e-04
51	3.507960e-03	1.035125e-03	4.804400e-04
52	3.879955e-03	1.139860e-03	5.318100e-04
53	3.785700e-03	1.127080e-03	5.106350e-04
54	4.075445e-03	1.194930e-03	5.451650e-04
55	4.044775e-03	1.203510e-03	5.521400e-04
56	4.139050e-03	1.209865e-03	5.558600e-04
57	4.235120e-03	1.237845e-03	5.680450e-04
58	4.435645e-03	1.293885e-03	5.901800e-04
59	4.503855e-03	1.311430e-03	5.992550e-04
60	4.764655e-03	1.371670e-03	6.295200e-04
